Farm size (litres),Region,Solids profile,Seasonality,Price option,Attribute,Months,Value
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Dec-Feb,49.44175883
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Jul-Aug,7.055337737
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Jul-Aug,51.90200689
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Mar-Jun,7.175019282
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Mar-Jun,56.6889074
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Season,6.77909925
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Season,51.00436097
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Sep-Nov,6.221539102
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Sep-Nov,45.1031957
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Dec-Feb,6.69952268
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Dec-Feb,49.89253686
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Jul-Aug,7.117339194
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Jul-Aug,52.3580108
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Mar-Jun,7.231011315
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Mar-Jun,57.13141977
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Season,6.837376461
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Season,51.4428251
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,$/kgMS,Sep-Nov,6.278411871
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,c/litre,Sep-Nov,45.51531572
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.727934955
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,47.59877777
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,7.146310607
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,49.9425319
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.258483018
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,54.48104281
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.865733238
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,51.65617488
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.307500542
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,43.4398851
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.770379922
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,47.89890908
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,7.186836868
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,50.22552855
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.301072288
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,54.80074735
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.908144957
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,49.07761844
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.350796768
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,43.73806551
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.472648284
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,45.79152584
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.872553319
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,48.02884502
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,6.980197733
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,52.39216049
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.51210613
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,46.26403497
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.063832204
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,41.76177355
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.489639521
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,45.9114959
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.887311889
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,48.13189274
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,6.99595799
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,52.51046984
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.530014934
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,46.39126471
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.085050105
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,41.9078903
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.536581333
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,46.24312135
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.92893302
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,48.42251972
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.039140476
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,52.83460005
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.575397496
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,46.71367659
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.132168626
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,42.23238933
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.565716854
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,46.44875943
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,6.956533367
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,48.61547875
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.065865561
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,53.03528572
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.60599375
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,46.93104193
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.16760848
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,42.47671229
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.605568586
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,46.73097892
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,7.000850175
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,48.92502705
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.108229375
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,53.35320235
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.645403818
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,47.21102336
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.2029813
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,42.72023934
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.624392048
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,46.86340567
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,7.019029304
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,49.05235002
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.120295921
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,53.44378168
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.664281406
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,47.34513564
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.226587515
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,42.88295177
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Dec-Feb,6.675560509
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Dec-Feb,47.22530671
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Jul-Aug,7.072109979
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Jul-Aug,49.42322806
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Mar-Jun,7.173108696
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Mar-Jun,53.84026929
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Season,6.714010427
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Season,47.69842613
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,$/kgMS,Sep-Nov,6.272476841
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,c/litre,Sep-Nov,43.19868185
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.716391845
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,47.51480354
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,7.116857932
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,49.73552037
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.220849363
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,54.19854676
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.757475554
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,c/litre,Season,48.00721596
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.314056313
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,43.48517744
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.752331925
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,47.76835431
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,7.15078323
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,49.9727646
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.250144385
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,54.41845513
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.792392037
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,c/litre,Season,48.3748753
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.353090696
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,43.75386674
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.479377123
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,45.84049863
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,6.886926761
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,48.12991551
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.004636529
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,52.57564558
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.560917911
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,c/litre,Season,46.72633501
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.06259907
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,41.75325794
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.496579967
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,45.96194572
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,6.902750062
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,48.24049021
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.019837555
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,52.68974855
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.578722207
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,c/litre,Season,46.85313578
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.084169294
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,41.90180772
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.538702157
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,46.25991781
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,6.94755132
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,48.55352757
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.062600618
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,53.01072397
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.622242924
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,c/litre,Season,47.16308687
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.128985856
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,42.21062746
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.569191374
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,46.47497234
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,6.97666559
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,48.75675854
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.094668508
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,53.25144465
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.653162721
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,c/litre,Season,47.3832952
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.159601705
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,42.421307
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.609101886
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,46.75760211
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,7.018814727
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,49.05145758
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.13125456
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,53.52605463
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.691668953
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,c/litre,Season,47.65753352
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.197594516
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,42.68296456
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.627165858
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,46.88480409
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,7.036888666
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,49.17744386
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.154462998
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,53.7002718
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.713398801
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,c/litre,Season,47.81229177
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.221745451
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,42.84933694
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Dec-Feb,6.682897718
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,c/litre,Dec-Feb,47.27852596
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Jul-Aug,7.087906343
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,c/litre,Jul-Aug,49.53400545
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Mar-Jun,7.204963352
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,c/litre,Mar-Jun,54.07945469
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Season,6.765291375
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,c/litre,Season,48.18186655
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,$/kgMS,Sep-Nov,6.272256638
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,c/litre,Sep-Nov,43.19716121
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.721741436
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,47.55416335
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Jul-Aug,7.135635188
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,c/litre,Jul-Aug,49.8676874
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Mar-Jun,7.243602701
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,c/litre,Mar-Jun,54.36935428
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Season,6.805933141
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,c/litre,Season,48.47131397
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Sep-Nov,6.313885044
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,c/litre,Sep-Nov,43.48399472
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.757726915
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,47.80799274
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Jul-Aug,7.169395712
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Jul-Aug,50.10337667
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Mar-Jun,7.276525822
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Mar-Jun,54.61686209
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Season,6.841832069
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Season,48.96240891
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Sep-Nov,6.352987935
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Sep-Nov,43.75315711
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.481090312
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,45.85358157
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Jul-Aug,6.891290327
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Jul-Aug,48.16067459
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Mar-Jun,7.018317302
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Mar-Jun,52.6787005
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Season,6.607011216
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Season,47.28195337
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Sep-Nov,6.058227645
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Sep-Nov,41.7231633
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.495845613
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,45.95788211
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Jul-Aug,6.907227797
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Jul-Aug,48.27204106
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Mar-Jun,7.033750703
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Mar-Jun,52.79477496
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Season,6.621750476
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Season,47.38743239
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Sep-Nov,6.071443643
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Sep-Nov,41.81416495
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.541737732
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,46.28208203
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Jul-Aug,6.952114682
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Jul-Aug,48.58567223
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Mar-Jun,7.078796077
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Mar-Jun,53.13279308
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Season,6.668771347
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Season,47.72392926
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Sep-Nov,6.123024625
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,c/litre,Sep-Nov,42.16940226
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.571001627
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,46.48923842
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Jul-Aug,6.981286036
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Jul-Aug,48.78929909
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Mar-Jun,7.113316806
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Mar-Jun,53.39209826
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Season,6.700687564
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Season,47.95233224
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Sep-Nov,6.155097413
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Sep-Nov,42.39053956
"3,000,000 to 4,000,000",Northern VIC,Low,Batch,Minimum,$/kgMS,Dec-Feb,6.608434493
"3,000,000 to 4,000,000",Northern VIC,Low,Batch,Minimum,c/litre,Dec-Feb,46.75388344
