Farm size (litres),Region,Solids profile,Seasonality,Price option,Months,% of litres
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Aug,0.083333333
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Dec,0.085
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Feb,0.08
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Jan,0.083333333
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Jul,0.08
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Jun,0.083333333
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Mar,0.079
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,May,0.08
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Nov,0.088
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Oct,0.09
"3,000,000 to 4,000,000",Northern VIC,Average,Flat,Minimum,Sep,0.088
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Apr,0.08
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Aug,0.083333333
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Dec,0.085
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Feb,0.08
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Jan,0.083333333
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Jul,0.08
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Jun,0.083333333
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Mar,0.079
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,May,0.08
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Nov,0.088
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Oct,0.09
"4,000,000 to 5,000,000",Northern VIC,Average,Flat,Minimum,Sep,0.088
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Apr,0.08
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Aug,0.083333333
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Dec,0.085
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Feb,0.08
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Jan,0.083333333
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Jul,0.08
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Jun,0.083333333
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Mar,0.079
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,May,0.08
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Nov,0.088
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Oct,0.09
"5,000,000 to 10,000,000",Northern VIC,Average,Flat,Minimum,Sep,0.088
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"500,000 to 750,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"750,000 to 1,000,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"1,000,000 to 1,500,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"1,500,000 to 2,000,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"2,000,000 to 2,500,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"2,500,000 to 3,000,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"3,000,000 to 4,000,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"4,000,000 to 5,000,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Apr,0.063320017
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Aug,0.069804451
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Dec,0.106211242
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Feb,0.067454644
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jan,0.089009043
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jul,0.058582231
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Jun,0.065945725
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Mar,0.064339948
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,May,0.06646744
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Nov,0.120254624
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Oct,0.123941267
"5,000,000 to 10,000,000",Northern VIC,Low,Highly seasonal,Minimum,Sep,0.104669367
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"500,000 to 750,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"750,000 to 1,000,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"1,000,000 to 1,500,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"1,500,000 to 2,000,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"2,000,000 to 2,500,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"2,500,000 to 3,000,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"3,000,000 to 4,000,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"4,000,000 to 5,000,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Apr,0.070355574
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Aug,0.077560501
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Dec,0.096555675
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Feb,0.067454644
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Jan,0.084770517
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Jul,0.068920272
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Jun,0.071531338
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Mar,0.067726261
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,May,0.078196989
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Nov,0.104569239
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Oct,0.11267388
"5,000,000 to 10,000,000",Northern VIC,Low,Average,Minimum,Sep,0.099685112
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Apr,0.087944468
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Aug,0.074458081
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Dec,0.086900107
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Feb,0.080945572
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Jan,0.076293465
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Jul,0.068920272
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Jun,0.070875494
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Mar,0.088044139
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,May,0.086016687
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Nov,0.094112315
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Oct,0.095772798
"500,000 to 750,000",Northern VIC,Low,Batch,Minimum,Sep,0.0897166
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Apr,0.087944468
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Aug,0.074458081
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Dec,0.086900107
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Feb,0.080945572
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Jan,0.076293465
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Jul,0.068920272
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Jun,0.070875494
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Mar,0.088044139
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,May,0.086016687
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Nov,0.094112315
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Oct,0.095772798
"750,000 to 1,000,000",Northern VIC,Low,Batch,Minimum,Sep,0.0897166
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Apr,0.087944468
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Aug,0.074458081
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Dec,0.086900107
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Feb,0.080945572
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Jan,0.076293465
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Jul,0.068920272
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Jun,0.070875494
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Mar,0.088044139
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,May,0.086016687
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Nov,0.094112315
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Oct,0.095772798
"1,000,000 to 1,500,000",Northern VIC,Low,Batch,Minimum,Sep,0.0897166
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Apr,0.087944468
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Aug,0.074458081
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Dec,0.086900107
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Feb,0.080945572
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Jan,0.076293465
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Jul,0.068920272
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Jun,0.070875494
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Mar,0.088044139
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,May,0.086016687
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Nov,0.094112315
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Oct,0.095772798
"1,500,000 to 2,000,000",Northern VIC,Low,Batch,Minimum,Sep,0.0897166
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Apr,0.087944468
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Aug,0.074458081
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Dec,0.086900107
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Feb,0.080945572
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Jan,0.076293465
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Jul,0.068920272
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Jun,0.070875494
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Mar,0.088044139
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,May,0.086016687
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Nov,0.094112315
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Oct,0.095772798
"2,000,000 to 2,500,000",Northern VIC,Low,Batch,Minimum,Sep,0.0897166
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,Apr,0.087944468
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,Aug,0.074458081
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,Dec,0.086900107
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,Feb,0.080945572
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,Jan,0.076293465
"2,500,000 to 3,000,000",Northern VIC,Low,Batch,Minimum,Jul,0.068920272
